Date,flood runoff
2019-08-03,0.8347651
2019-08-04,0.8413669
2019-08-05,0.8674819
2019-08-06,0.894902
2019-08-07,0.87754834
2019-08-08,0.84334296
2019-08-09,0.8379362
2019-08-10,0.78758144
2019-08-11,0.73341334
2019-08-12,0.70069724
2019-08-13,0.6722837
2019-08-14,0.6030862
2019-08-15,0.5219311
2019-08-16,0.47526565
2019-08-17,0.39001524
2019-08-18,0.3078481
2019-08-19,0.25441357
2019-08-20,0.21279012
2019-08-21,0.13795926
2019-08-22,0.058656327
2019-08-23,0.02108245
2019-08-24,0.048230037
2019-08-25,0.10814197
2019-08-26,0.13365433
2019-08-27,0.14244364
2019-08-28,0.18036835
2019-08-29,0.21959731
2019-08-30,0.21487541
2019-08-31,0.24063541
2019-09-01,0.25669932
2019-09-02,0.23900308
2019-09-03,0.2061106
2019-09-04,0.20470044
2019-09-05,0.20767662
2019-09-06,0.17041925
2019-09-07,0.16788374
2019-09-08,0.1602932
2019-09-09,0.12385693
2019-09-10,0.07728188
2019-09-11,0.067260064
2019-09-12,0.066583276
2019-09-13,0.030400814
2019-09-14,0.033328682
2019-09-15,0.03515432
2019-09-16,0.0115697505
2019-09-17,0.019300591
2019-09-18,0.011394976
2019-09-19,0.0074187065
2019-09-20,0.008380779
2019-09-21,0.015159492
2019-09-22,0.037188932
2019-09-23,0.03280294
2019-09-24,0.019585524
2019-09-25,0.043126967
2019-09-26,0.075167455
2019-09-27,0.06988139
2019-09-28,0.10101022
2019-09-29,0.12758745
2019-09-30,0.124687955
2019-10-01,0.10996786
2019-10-02,0.12917684
2019-10-03,0.15429409
2019-10-04,0.13980295
2019-10-05,0.15981239
2019-10-06,0.17376915
2019-10-07,0.15719339
2019-10-08,0.1282043
2019-10-09,0.13301805
2019-10-10,0.14406964
2019-10-11,0.11627419
2019-10-12,0.124136046
2019-10-13,0.1274501
2019-10-14,0.102028206
2019-10-15,0.06621744
2019-10-16,0.06639286
2019-10-17,0.07507641
2019-10-18,0.047197293
2019-10-19,0.057202645
2019-10-20,0.064762264
2019-10-21,0.045500588
2019-10-22,0.017522216
2019-10-23,0.026913395
2019-10-24,0.04587089
2019-10-25,0.02897327
2019-10-26,0.050302885
2019-10-27,0.06916225
2019-10-28,0.06081741
2019-10-29,0.043034345
2019-10-30,0.06159059
2019-10-31,0.08841303
2019-11-01,0.077856764
2019-11-02,0.10383316
2019-11-03,0.12553048
2019-11-04,0.11815974
2019-11-05,0.099491686
2019-11-06,0.11536716
2019-11-07,0.13783184
2019-11-08,0.121410415
2019-11-09,0.1402284
2019-11-10,0.15372539
2019-11-11,0.13739218
2019-11-12,0.109298766
2019-11-13,0.11559488
2019-11-14,0.12863486
2019-11-15,0.103242174
2019-11-16,0.11382206
2019-11-17,0.12006611
2019-11-18,0.09768216
2019-11-19,0.06491576
2019-11-20,0.068045825
2019-11-21,0.07950622
2019-11-22,0.054148406
2019-11-23,0.06635387
2019-11-24,0.07574027
2019-11-25,0.057894256
2019-11-26,0.030897412
2019-11-27,0.04082768
2019-11-28,0.059887685
2019-11-29,0.042675138
2019-11-30,0.06330352
2019-12-01,0.08111692
2019-12-02,0.07143154
2019-12-03,0.052070163
2019-12-04,0.06887164
2019-12-05,0.09382657
2019-12-06,0.08135415
2019-12-07,0.10542807
2019-12-08,0.12529546
2019-12-09,0.116220966
2019-12-10,0.096022405
2019-12-11,0.11057996
2019-12-12,0.13197008
2019-12-13,0.114739135
2019-12-14,0.13302496
2019-12-15,0.14627019
2019-12-16,0.12995984
2019-12-17,0.102149785
2019-12-18,0.10896816
2019-12-19,0.12274138
2019-12-20,0.09825975
2019-12-21,0.10989134
2019-12-22,0.1172881
2019-12-23,0.09611696
2019-12-24,0.06458269
2019-12-25,0.06892485
2019-12-26,0.08154048
