Date,flood runoff
2019-08-03,1.4721442
2019-08-04,1.547539
2019-08-05,1.5693315
2019-08-06,1.602295
2019-08-07,1.6132674
2019-08-08,1.5666414
2019-08-09,1.5238657
2019-08-10,1.4530178
2019-08-11,1.4257507
2019-08-12,1.3469523
2019-08-13,1.283194
2019-08-14,1.2030282
2019-08-15,1.0724393
2019-08-16,0.954311
2019-08-17,0.817968
2019-08-18,0.7360963
2019-08-19,0.61438155
2019-08-20,0.5199426
2019-08-21,0.42161942
2019-08-22,0.28542054
2019-08-23,0.17399333
2019-08-24,0.05617539
2019-08-25,0.003929312
2019-08-26,0.0779986
2019-08-27,0.12361954
2019-08-28,0.16538508
2019-08-29,0.2387069
2019-08-30,0.28245142
2019-08-31,0.32935134
2019-09-01,0.30903345
2019-09-02,0.31832257
2019-09-03,0.29274654
2019-09-04,0.26618522
2019-09-05,0.27535892
2019-09-06,0.2602956
2019-09-07,0.25471884
2019-09-08,0.18905751
2019-09-09,0.16073607
2019-09-10,0.10567168
2019-09-11,0.057920597
2019-09-12,0.054169554
2019-09-13,0.0342111
2019-09-14,0.031344783
2019-09-15,0.02459591
2019-09-16,0.036931626
2019-09-17,0.07061534
2019-09-18,0.09255883
2019-09-19,0.06711225
2019-09-20,0.055558886
2019-09-21,0.025683932
2019-09-22,0.048718233
2019-09-23,0.0289984
2019-09-24,0.03241935
2019-09-25,0.026737826
2019-09-26,0.02296756
2019-09-27,0.054817278
2019-09-28,0.10057373
2019-09-29,0.088704735
2019-09-30,0.114726156
2019-10-01,0.11274781
2019-10-02,0.1151641
2019-10-03,0.15718411
2019-10-04,0.17733918
2019-10-05,0.20790935
2019-10-06,0.17796756
2019-10-07,0.18370156
2019-10-08,0.15993726
2019-10-09,0.13980661
2019-10-10,0.15925471
2019-10-11,0.15752539
2019-10-12,0.16756663
2019-10-13,0.119056135
2019-10-14,0.10870653
2019-10-15,0.071775265
2019-10-16,0.041721918
2019-10-17,0.054708406
2019-10-18,0.05008087
2019-10-19,0.06077525
2019-10-20,0.016346326
2019-10-21,0.013279687
2019-10-22,0.013488581
2019-10-23,0.030902198
2019-10-24,0.0032698722
2019-10-25,0.008232946
2019-10-26,0.035987124
2019-10-27,0.008976997
2019-10-28,0.023120545
2019-10-29,0.012806758
2019-10-30,0.010581995
2019-10-31,0.051679943
2019-11-01,0.07453305
2019-11-02,0.111206494
2019-11-03,0.090453565
2019-11-04,0.10805131
2019-11-05,0.09834046
2019-11-06,0.093911335
2019-11-07,0.13013059
2019-11-08,0.14564647
2019-11-09,0.17281441
2019-11-10,0.14074163
2019-11-11,0.14561029
2019-11-12,0.12220345
2019-11-13,0.10357624
2019-11-14,0.12556712
2019-11-15,0.12728806
2019-11-16,0.1415352
2019-11-17,0.09781972
2019-11-18,0.09267857
2019-11-19,0.06118978
2019-11-20,0.036634944
2019-11-21,0.0550043
2019-11-22,0.05548303
2019-11-23,0.07086068
2019-11-24,0.030563368
2019-11-25,0.030968351
2019-11-26,0.0069254674
2019-11-27,0.008572054
2019-11-28,0.020127608
2019-11-29,0.03183282
2019-11-30,0.058930647
2019-12-01,0.03043251
2019-12-02,0.042302426
2019-12-03,0.028992038
2019-12-04,0.023124313
2019-12-05,0.060020674
2019-12-06,0.07820948
2019-12-07,0.10985706
2019-12-08,0.083820164
2019-12-09,0.095978975
2019-12-10,0.080774486
2019-12-11,0.07089221
2019-12-12,0.101786986
2019-12-13,0.11218692
2019-12-14,0.13451758
2019-12-15,0.09794609
2019-12-16,0.0987037
2019-12-17,0.07161194
2019-12-18,0.049753867
2019-12-19,0.06898612
2019-12-20,0.06842981
2019-12-21,0.08088224
2019-12-22,0.035848893
2019-12-23,0.029855467
2019-12-24,0.002035664
2019-12-25,0.026561674
2019-12-26,0.0077530756
