Date,flood runoff
2019-01-01,0.14318845
2019-01-02,0.12554166
2019-01-03,0.12517266
2019-01-04,0.11675671
2019-01-05,0.14919895
2019-01-06,0.08699242
2019-01-07,0.1357363
2019-01-08,0.11556401
2019-01-09,0.09940593
2019-01-10,0.10140184
2019-01-11,0.09613398
2019-01-12,0.13239183
2019-01-13,0.074534215
2019-01-14,0.12801188
2019-01-15,0.11280045
2019-01-16,0.101668134
2019-01-17,0.108593166
2019-01-18,0.10800192
2019-01-19,0.14853837
2019-01-20,0.09443052
2019-01-21,0.15101677
2019-01-22,0.13818213
2019-01-23,0.12862842
2019-01-24,0.13629337
2019-01-25,0.13558975
2019-01-26,0.17517477
2019-01-27,0.119315915
2019-01-28,0.1734156
2019-01-29,0.15744525
2019-01-30,0.14421242
2019-01-31,0.14777653
2019-02-01,0.14268391
2019-02-02,0.17773302
2019-02-03,0.1173357
2019-02-04,0.16703743
2019-02-05,0.14694682
2019-02-06,0.12999867
2019-02-07,0.1303657
2019-02-08,0.12269027
2019-02-09,0.15584674
2019-02-10,0.094300516
2019-02-11,0.14362682
2019-02-12,0.12393953
2019-02-13,0.1081541
2019-02-14,0.110400304
2019-02-15,0.10525528
2019-02-16,0.1415082
2019-02-17,0.08352212
2019-02-18,0.13675602
2019-02-19,0.121197335
2019-02-20,0.10962911
2019-02-21,0.11604664
2019-02-22,0.114894904
2019-02-23,0.15483736
2019-02-24,0.100121595
2019-02-25,0.15610506
2019-02-26,0.14269061
2019-02-27,0.13259625
2019-02-28,0.13977373
2019-03-01,0.13864723
2019-03-02,0.17788272
2019-03-03,0.121753454
2019-03-04,0.17566472
2019-03-05,0.15958793
2019-03-06,0.14632797
2019-03-07,0.14993916
2019-03-08,0.14496061
2019-03-09,0.18018188
2019-03-10,0.120004594
2019-03-11,0.16996323
2019-03-12,0.15015502
2019-03-13,0.13350342
2019-03-14,0.13417034
2019-03-15,0.12678811
2019-03-16,0.16022234
2019-03-17,0.098931
2019-03-18,0.14848356
2019-03-19,0.1289898
2019-03-20,0.113362886
2019-03-21,0.115731925
2019-03-22,0.11067501
2019-03-23,0.14698364
2019-03-24,0.08902441
2019-03-25,0.14226072
2019-03-26,0.12668508
2019-03-27,0.11508578
2019-03-28,0.121463485
2019-03-29,0.12026814
2019-03-30,0.16016762
2019-03-31,0.105413094
2019-04-01,0.16136456
2019-04-02,0.14792632
2019-04-03,0.13781655
2019-04-04,0.14498602
2019-04-05,0.14385681
2019-04-06,0.18309169
2019-04-07,0.12695986
2019-04-08,0.18086202
2019-04-09,0.1647646
2019-04-10,0.15146747
2019-04-11,0.15502022
2019-04-12,0.14995787
2019-04-13,0.18506671
2019-04-14,0.12474641
2019-04-15,0.17453082
2019-04-16,0.15451823
2019-04-17,0.1376349
2019-04-18,0.13804735
2019-04-19,0.13039437
2019-04-20,0.1635496
2019-04-21,0.10198071
2019-04-22,0.15126804
2019-04-23,0.13153319
2019-04-24,0.115701646
2019-04-25,0.11791496
2019-04-26,0.112763256
2019-04-27,0.14904915
2019-04-28,0.091148876
2019-04-29,0.14453357
2019-04-30,0.12920105
2019-05-01,0.11794209
2019-05-02,0.1247565
2019-05-03,0.124090016
2019-05-04,0.1646025
2019-05-05,0.11053337
2019-05-06,0.1672271
2019-05-07,0.1545689
2019-05-08,0.14525446
2019-05-09,0.15320916
2019-05-10,0.15282719
2019-05-11,0.1927416
2019-05-12,0.13719076
2019-05-13,0.19154407
2019-05-14,0.17573711
2019-05-15,0.16254023
2019-05-16,0.16597557
2019-05-17,0.16055371
2019-05-18,0.19504033
2019-05-19,0.133819
2019-05-20,0.1824127
2019-05-21,0.1609146
2019-05-22,0.14225201
2019-05-23,0.14059907
2019-05-24,0.13060872
2019-05-25,0.16117546
2019-05-26,0.09679414
2019-05-27,0.14307846
2019-05-28,0.120188855
2019-05-29,0.10109467
2019-05-30,0.09998541
2019-05-31,0.0915024
2019-06-01,0.12450168
2019-06-02,0.06341416
2019-06-03,0.11376564
2019-06-04,0.095607564
2019-06-05,0.08178217
2019-06-06,0.08633751
2019-06-07,0.083763205
2019-06-08,0.12275788
2019-06-09,0.0675937
2019-06-10,0.12364124
2019-06-11,0.11080457
2019-06-12,0.10179081
2019-06-13,0.110528916
2019-06-14,0.11140903
2019-06-15,0.15305255
2019-06-16,0.099678986
2019-06-17,0.1566321
2019-06-18,0.14381577
2019-06-19,0.1339632
2019-06-20,0.14105497
2019-06-21,0.13955642
2019-06-22,0.1781855
2019-06-23,0.12127624
2019-06-24,0.17430161
2019-06-25,0.15730502
2019-06-26,0.14316529
2019-06-27,0.14601
2019-06-28,0.14044835
2019-06-29,0.1753344
2019-06-30,0.115126364
2019-07-01,0.16540536
2019-07-02,0.14630362
2019-07-03,0.13076654
2019-07-04,0.13296387
2019-07-05,0.12752117
2019-07-06,0.16328242
2019-07-07,0.104669556
2019-07-08,0.1572022
2019-07-09,0.14092769
2019-07-10,0.12868573
2019-07-11,0.13452283
2019-07-12,0.13292746
2019-07-13,0.17259702
2019-07-14,0.117801964
2019-07-15,0.17391026
2019-07-16,0.16082242
2019-07-17,0.1512407
2019-07-18,0.15908827
2019-07-19,0.1587484
2019-07-20,0.19883507
2019-07-21,0.14356008
2019-07-22,0.19825996
2019-07-23,0.1828323
2019-07-24,0.17000574
2019-07-25,0.1737588
2019-07-26,0.16855812
2019-07-27,0.20312694
2019-07-28,0.14180957
2019-07-29,0.1900947
2019-07-30,0.16804759
2019-07-31,0.1485755
2019-08-01,0.14584132
2019-08-02,0.13449648
